tradingsymbol Zerodha,name,exchange,tradingsymbol Yahoo
20MICRONS,20 MICRONS,NSE,20MICRONS.NS
21STCENMGM,21ST CENTURY MGMT SERVICE,NSE,21STCENMGM.NS
3MINDIA,3M INDIA,NSE,3MINDIA.NS
3PLAND-BE,3P LAND HOLDINGS,NSE,3PLAND-BE.NS
5PAISA,5PAISA CAPITAL,NSE,5PAISA.NS
63MOONS,63 MOONS TECHNOLOGIES,NSE,63MOONS.NS
A2ZINFRA,A2Z INFRA ENGINEERING,NSE,A2ZINFRA.NS
AAKASH,AAKASH EXPLORATION SER L,NSE,AAKASH.NS
AAREYDRUGS,AAREY DRUGS & PHARM,NSE,AAREYDRUGS.NS
AARON,AARON INDUSTRIES,NSE,AARON.NS
AARTIDRUGS,AARTI DRUGS.,NSE,AARTIDRUGS.NS
AARTIIND,AARTI INDUSTRIES,NSE,AARTIIND.NS
AARTISURF,AARTI SURFACTANTS,NSE,AARTISURF.NS
AARVEEDEN,AARVEE DEN. & EXP.,NSE,AARVEEDEN.NS
AARVI,AARVI ENCON,NSE,AARVI.NS
AAVAS,AAVAS FINANCIERS,NSE,AAVAS.NS
ABAN,ABAN OFFSHORE.,NSE,ABAN.NS
ABB,ABB INDIA,NSE,ABB.NS
ABBOTINDIA,ABBOTT INDIA,NSE,ABBOTINDIA.NS
ABCAPITAL,ADITYA BIRLA CAPITAL.,NSE,ABCAPITAL.NS
ABFRL,ADITYA BIRLA FASHION & RT,NSE,ABFRL.NS
ABSLBANETF,BIRLASLAMC - ABSLBANETF,NSE,ABSLBANETF.NS
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,NSE,ABSLNN50ET.NS
ACC,ACC,NSE,ACC.NS
ACCELYA,ACCELYA SOLN INDIA,NSE,ACCELYA.NS
ACCURACY,ACCURACY SHIPPING,NSE,ACCURACY.NS
ACE,ACTION CONST EQUIP,NSE,ACE.NS
ACRYSIL,ACRYSIL,NSE,ACRYSIL.NS
ADANIENT,ADANI ENTERPRISES,NSE,ADANIENT.NS
ADANIGREEN-BE,ADANI GREEN ENERGY,NSE,ADANIGREEN-BE.NS
ADANIPORTS,ADANI PORT & SEZ,NSE,ADANIPORTS.NS
ADANIPOWER,Adani Power Limited,NSE,ADANIPOWER.NS
ADANITRANS,ADANI TRANSMISSION,NSE,ADANITRANS.NS
