,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,245876996,960457,0001AIPL24,,0.0,,0.0,0.01,10,EQ,BSE,BSE
1,245304324,958220,001CSSL25,,0.0,,0.0,0.01,1,EQ,BSE,BSE
2,245303812,958218,001JAL48,,0.0,,0.0,0.01,1,EQ,BSE,BSE
3,183046148,715024,001PSL35,,0.0,,0.0,0.01,1,EQ,BSE,BSE
4,138992388,542939,04ABB,,0.0,,0.0,0.01,1,EQ,BSE,BSE
5,138992644,542940,04ADD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
6,138992900,542941,04ADR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
7,138993156,542942,04AGG,,0.0,,0.0,0.01,1,EQ,BSE,BSE
8,138993412,542943,04AQD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
9,138993668,542944,04AQR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
10,138993924,542945,04BPB,,0.0,,0.0,0.01,1,EQ,BSE,BSE
11,138994180,542946,04DPD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
12,138994436,542947,04DPR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
13,138994692,542948,04GPG,,0.0,,0.0,0.01,1,EQ,BSE,BSE
14,138994948,542949,04QPD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
15,138995204,542950,04QPR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
16,204833540,800131,0685GOI12,,0.0,,0.0,0.05,10,EQ,BSE,BSE
17,138999044,542965,06ADD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
18,138999300,542966,06ADR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
19,138998532,542963,06AGG,,0.0,,0.0,0.01,1,EQ,BSE,BSE
20,138999556,542967,06ARD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
21,138999812,542968,06ARR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
22,139000580,542971,06DPD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
23,138998020,542961,06DPR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
24,138998276,542962,06DRD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
25,138998788,542964,06DRR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
26,139000068,542969,06GPG,,0.0,,0.0,0.01,1,EQ,BSE,BSE
27,139000324,542970,06IGG,,0.0,,0.0,0.01,1,EQ,BSE,BSE
28,204837380,800146,0727GOI13,,0.0,,0.0,0.05,10,EQ,BSE,BSE
29,204833796,800132,0740GOI12,,0.0,,0.0,0.05,10,EQ,BSE,BSE
30,204837124,800145,0795GOI32,,0.0,,0.0,0.05,10,EQ,BSE,BSE
31,139027460,543076,07ABB,,0.0,,0.0,0.01,1,EQ,BSE,BSE
32,139027972,543078,07ADD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
33,139028484,543080,07ADR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
34,139026180,543071,07AGG,,0.0,,0.0,0.01,1,EQ,BSE,BSE
35,139028740,543081,07AQD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
36,139028996,543082,07AQR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
37,139026436,543072,07BPB,,0.0,,0.0,0.01,1,EQ,BSE,BSE
38,139026692,543073,07DPD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
39,139026948,543074,07DPR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
40,139028228,543079,07GPG,,0.0,,0.0,0.01,1,EQ,BSE,BSE
41,139027204,543075,07QPD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
42,139027716,543077,07QPR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
43,204834308,800134,0835GOI22,,0.0,,0.0,0.05,10,EQ,BSE,BSE
44,139046660,543151,08ABB,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
45,139051524,543170,08ADD,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
46,139045124,543145,08ADR,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
47,139047172,543153,08AGG,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
48,139045636,543147,08AMD,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
49,139045892,543148,08AMR,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
50,139047684,543155,08AQD,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
51,139051012,543168,08AQR,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
52,139046148,543149,08BPB,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
53,139047940,543156,08DPD,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
54,139051268,543169,08DPR,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
55,139046404,543150,08GPG,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
56,139044868,543144,08MPD,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
57,139045380,543146,08MPR,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
58,139046916,543152,08QPD,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
59,139047428,543154,08QPR,NIPPON INDIA MUTUAL FUND,0.0,,0.0,0.01,1,EQ,BSE,BSE
60,205862148,804149,091TB190919,,0.0,,0.0,0.05,10,EQ,BSE,BSE
61,204830724,800120,0939GOI11,,0.0,,0.0,0.05,10,EQ,BSE,BSE
62,204835844,800140,0940GOI12,,0.0,,0.0,0.05,10,EQ,BSE,BSE
63,204830212,800118,0981GOI13,,0.0,,0.0,0.05,10,EQ,BSE,BSE
64,204831748,800124,0985GOI15,,0.0,,0.0,0.05,10,EQ,BSE,BSE
65,139030276,543087,09AGG,,0.0,,0.0,0.01,1,EQ,BSE,BSE
66,139030532,543088,09AMD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
67,139030788,543089,09AMR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
68,139031044,543090,09AQD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
69,139031300,543091,09AQR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
70,139031556,543092,09GPG,,0.0,,0.0,0.01,1,EQ,BSE,BSE
71,139029252,543083,09MPD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
72,139029508,543084,09MPR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
73,139029764,543085,09QPD,,0.0,,0.0,0.01,1,EQ,BSE,BSE
74,139030020,543086,09QPR,,0.0,,0.0,0.01,1,EQ,BSE,BSE
75,249149188,973239,0ABFL24,,0.0,,0.0,0.01,1,EQ,BSE,BSE
76,245334020,958336,0ABHFL21,,0.0,,0.0,0.01,1,EQ,BSE,BSE
77,245359364,958435,0ABHFL22,,0.0,,0.0,0.01,1,EQ,BSE,BSE
78,245574660,959276,0AFL100323,,0.0,,0.0,0.01,1,EQ,BSE,BSE
79,245261828,958054,0AFL22,,0.0,,0.0,0.01,1,EQ,BSE,BSE
80,245262084,958055,0AFL22A,,0.0,,0.0,0.01,1,EQ,BSE,BSE
81,245433860,958726,0AFL22B,,0.0,,0.0,0.01,1,EQ,BSE,BSE
82,245489156,958942,0AFL22C,,0.0,,0.0,0.01,1,EQ,BSE,BSE
