,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,264713,1034,HANGSENG BEES-NAV,HANGSENG BEES-NAV,0,,0,0,0,EQ,INDICES,NSE
1,264969,1035,INDIA VIX,INDIA VIX,0,,0,0,0,EQ,INDICES,NSE
2,260617,1018,NIFTY 100,NIFTY 100,0,,0,0,0,EQ,INDICES,NSE
3,264457,1033,NIFTY 200,NIFTY 200,0,,0,0,0,EQ,INDICES,NSE
4,256265,1001,NIFTY 50,NIFTY 50,0,,0,0,0,EQ,INDICES,NSE
5,268041,1047,NIFTY 500,NIFTY 500,0,,0,0,0,EQ,INDICES,NSE
6,265993,1039,NIFTY ALPHA 50,NIFTY ALPHA 50,0,,0,0,0,EQ,INDICES,NSE
7,273673,1069,NIFTY ALPHALOWVOL,NIFTY ALPHALOWVOL,0,,0,0,0,EQ,INDICES,NSE
8,263433,1029,NIFTY AUTO,NIFTY AUTO,0,,0,0,0,EQ,INDICES,NSE
9,260105,1016,NIFTY BANK,NIFTY BANK,0,,0,0,0,EQ,INDICES,NSE
10,257289,1005,NIFTY COMMODITIES,NIFTY COMMODITIES,0,,0,0,0,EQ,INDICES,NSE
11,257545,1006,NIFTY CONSUMPTION,NIFTY CONSUMPTION,0,,0,0,0,EQ,INDICES,NSE
12,268297,1048,NIFTY CPSE,NIFTY CPSE,0,,0,0,0,EQ,INDICES,NSE
13,257033,1004,NIFTY DIV OPPS 50,NIFTY DIV OPPS 50,0,,0,0,0,EQ,INDICES,NSE
14,261641,1022,NIFTY ENERGY,NIFTY ENERGY,0,,0,0,0,EQ,INDICES,NSE
15,257801,1007,NIFTY FIN SERVICE,NIFTY FIN SERVICE,0,,0,0,0,EQ,INDICES,NSE
16,261897,1023,NIFTY FMCG,NIFTY FMCG,0,,0,0,0,EQ,INDICES,NSE
17,270345,1056,NIFTY GROWSECT 15,NIFTY GROWSECT 15,0,,0,0,0,EQ,INDICES,NSE
18,269065,1051,NIFTY GS 10YR,NIFTY GS 10YR,0,,0,0,0,EQ,INDICES,NSE
19,269321,1052,NIFTY GS 10YR CLN,NIFTY GS 10YR CLN,0,,0,0,0,EQ,INDICES,NSE
20,269577,1053,NIFTY GS 11 15YR,NIFTY GS 11 15YR,0,,0,0,0,EQ,INDICES,NSE
21,269833,1054,NIFTY GS 15YRPLUS,NIFTY GS 15YRPLUS,0,,0,0,0,EQ,INDICES,NSE
22,268553,1049,NIFTY GS 4 8YR,NIFTY GS 4 8YR,0,,0,0,0,EQ,INDICES,NSE
23,268809,1050,NIFTY GS 8 13YR,NIFTY GS 8 13YR,0,,0,0,0,EQ,INDICES,NSE
24,270089,1055,NIFTY GS COMPSITE,NIFTY GS COMPSITE,0,,0,0,0,EQ,INDICES,NSE
25,261385,1021,NIFTY INFRA,NIFTY INFRA,0,,0,0,0,EQ,INDICES,NSE
26,259849,1015,NIFTY IT,NIFTY IT,0,,0,0,0,EQ,INDICES,NSE
27,263945,1031,NIFTY MEDIA,NIFTY MEDIA,0,,0,0,0,EQ,INDICES,NSE
28,263689,1030,NIFTY METAL,NIFTY METAL,0,,0,0,0,EQ,INDICES,NSE
29,270601,1057,NIFTY MID LIQ 15,NIFTY MID LIQ 15,0,,0,0,0,EQ,INDICES,NSE
30,256777,1003,NIFTY MIDCAP 100,NIFTY MIDCAP 100,0,,0,0,0,EQ,INDICES,NSE
31,266249,1040,NIFTY MIDCAP 150,NIFTY MIDCAP 150,0,,0,0,0,EQ,INDICES,NSE
32,260873,1019,NIFTY MIDCAP 50,NIFTY MIDCAP 50,0,,0,0,0,EQ,INDICES,NSE
33,266505,1041,NIFTY MIDSML 400,NIFTY MIDSML 400,0,,0,0,0,EQ,INDICES,NSE
34,262153,1024,NIFTY MNC,NIFTY MNC,0,,0,0,0,EQ,INDICES,NSE
35,270857,1058,NIFTY NEXT 50,NIFTY NEXT 50,0,,0,0,0,EQ,INDICES,NSE
36,262409,1025,NIFTY PHARMA,NIFTY PHARMA,0,,0,0,0,EQ,INDICES,NSE
37,262665,1026,NIFTY PSE,NIFTY PSE,0,,0,0,0,EQ,INDICES,NSE
38,262921,1027,NIFTY PSU BANK,NIFTY PSU BANK,0,,0,0,0,EQ,INDICES,NSE
39,271113,1059,NIFTY PVT BANK,NIFTY PVT BANK,0,,0,0,0,EQ,INDICES,NSE
40,261129,1020,NIFTY REALTY,NIFTY REALTY,0,,0,0,0,EQ,INDICES,NSE
41,263177,1028,NIFTY SERV SECTOR,NIFTY SERV SECTOR,0,,0,0,0,EQ,INDICES,NSE
42,267017,1043,NIFTY SMLCAP 100,NIFTY SMLCAP 100,0,,0,0,0,EQ,INDICES,NSE
43,267273,1044,NIFTY SMLCAP 250,NIFTY SMLCAP 250,0,,0,0,0,EQ,INDICES,NSE
44,266761,1042,NIFTY SMLCAP 50,NIFTY SMLCAP 50,0,,0,0,0,EQ,INDICES,NSE
45,271881,1062,NIFTY100 EQL WGT,NIFTY100 EQL WGT,0,,0,0,0,EQ,INDICES,NSE
46,267785,1046,NIFTY100 LIQ 15,NIFTY100 LIQ 15,0,,0,0,0,EQ,INDICES,NSE
47,272137,1063,NIFTY100 LOWVOL30,NIFTY100 LOWVOL30,0,,0,0,0,EQ,INDICES,NSE
48,272393,1064,NIFTY100 QUALTY30,NIFTY100 QUALTY30,0,,0,0,0,EQ,INDICES,NSE
49,265737,1038,NIFTY200 QUALTY30,NIFTY200 QUALTY30,0,,0,0,0,EQ,INDICES,NSE
50,265225,1036,NIFTY50 DIV POINT,NIFTY50 DIV POINT,0,,0,0,0,EQ,INDICES,NSE
51,271625,1061,NIFTY50 EQL WGT,NIFTY50 EQL WGT,0,,0,0,0,EQ,INDICES,NSE
52,259081,1012,NIFTY50 PR 1X INV,NIFTY50 PR 1X INV,0,,0,0,0,EQ,INDICES,NSE
53,258825,1011,NIFTY50 PR 2X LEV,NIFTY50 PR 2X LEV,0,,0,0,0,EQ,INDICES,NSE
54,259593,1014,NIFTY50 TR 1X INV,NIFTY50 TR 1X INV,0,,0,0,0,EQ,INDICES,NSE
